20000715_AFP_ARB.0072.eng	106	109	http://en.wikipedia.org/wiki/Iran	1.0	PER/NAM
20000715_AFP_ARB.0072.eng	18	20	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20000715_AFP_ARB.0072.eng	2	10	http://en.wikipedia.org/wiki/Jerusalem	1.0	PER/NAM
20000715_AFP_ARB.0072.eng	2212	2230	http://en.wikipedia.org/wiki/Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran)	1.0	PER/NAM
20000715_AFP_ARB.0072.eng	2237	2248	NIL	1.0	PER/NAM
20000715_AFP_ARB.0072.eng	877	882	http://en.wikipedia.org/wiki/Moscow	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	140	145	http://en.wikipedia.org/wiki/Israel	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	15	17	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	1501	1514	NIL	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	2	7	http://en.wikipedia.org/wiki/Beirut	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	23	29	http://en.wikipedia.org/wiki/Lebanon	1.0	PER/NAM
20000815_AFP_ARB.0071.eng	719	730	NIL	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	1089	1095	http://en.wikipedia.org/wiki/Lebanon	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	1231	1238	http://en.wikipedia.org/wiki/United_Arab_Emirates	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	1362	1367	http://en.wikipedia.org/wiki/Mexico	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	16	18	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	1700	1706	http://en.wikipedia.org/wiki/Bangkok	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	2	7	http://en.wikipedia.org/wiki/Beirut	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	28	50	NIL	1.0	PER/NAM
20001015_AFP_ARB.0053.eng	341	363	NIL	1.0	PER/NAM
20001015_AFP_ARB.0229.eng	123	129	http://en.wikipedia.org/wiki/Baghdad	1.0	PER/NAM
20001015_AFP_ARB.0229.eng	16	18	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001015_AFP_ARB.0229.eng	164	169	http://en.wikipedia.org/wiki/Riyadh	1.0	PER/NAM
20001015_AFP_ARB.0229.eng	2	7	http://en.wikipedia.org/wiki/London	1.0	PER/NAM
20001015_AFP_ARB.0229.eng	370	397	http://en.wikipedia.org/wiki/King_Khalid_International_Airport	1.0	PER/NAM
20001115_AFP_ARB.0013.eng	2	20	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	1.0	PER/NAM
20001115_AFP_ARB.0013.eng	29	31	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001115_AFP_ARB.0013.eng	333	348	http://en.wikipedia.org/wiki/Florida	1.0	PER/NAM
20001115_AFP_ARB.0013.eng	456	461	http://en.wikipedia.org/wiki/Brunei	1.0	PER/NAM
20001115_AFP_ARB.0030.eng	1026	1033	http://en.wikipedia.org/wiki/Netzarim_(settlement)	1.0	PER/NAM
20001115_AFP_ARB.0030.eng	14	16	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001115_AFP_ARB.0030.eng	2	5	http://en.wikipedia.org/wiki/Gaza	1.0	PER/NAM
20001115_AFP_ARB.0030.eng	490	494	http://en.wikipedia.org/wiki/Egypt	1.0	PER/NAM
20001115_AFP_ARB.0060.eng	2	20	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	1.0	PER/NAM
20001115_AFP_ARB.0060.eng	2438	2441	http://en.wikipedia.org/wiki/Iran	1.0	PER/NAM
20001115_AFP_ARB.0060.eng	29	31	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001115_AFP_ARB.0060.eng	751	769	http://en.wikipedia.org/wiki/Brunei	1.0	PER/NAM
20001115_AFP_ARB.0061.eng	14	16	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001115_AFP_ARB.0061.eng	191	198	NIL	1.0	PER/NAM
20001115_AFP_ARB.0061.eng	2	5	http://en.wikipedia.org/wiki/Gaza	1.0	PER/NAM
20001115_AFP_ARB.0061.eng	84	120	NIL	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	14	20	http://en.wikipedia.org/wiki/Holland	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	1825	1846	http://en.wikipedia.org/wiki/Lamin_Khalifah_Fhimah	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	1852	1872	http://en.wikipedia.org/wiki/Abdelbaset_Ali_Mohmed_Al_Megrahi	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	1912	1916	http://en.wikipedia.org/wiki/Malta	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	2	11	http://en.wikipedia.org/wiki/Zeist	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	30	32	http://en.wikipedia.org/wiki/Agence_France-Presse	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	574	585	http://en.wikipedia.org/wiki/Soviet_Union	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	841	846	http://en.wikipedia.org/wiki/Sweden	1.0	PER/NAM
20001115_AFP_ARB.0065.eng	870	878	http://en.wikipedia.org/wiki/Amsterdam	1.0	PER/NAM
